Упражнение,гантели,штанга,тренажеры,"передняя
 дельта","средняя
дельта","задняя 
дельта",трапеции,ромбовидные,бицепс,трицепс,"большая 
грудная","средняя 
грудная","малая
грудная",предплечье,широчайшая,"прямая
мышца
живота","наружные
косые
мышцы","внутренние
косые 
мышцы","поперечные
мышцы","прямая
мышца
бедра",квадрицепс,"бицепс
бедра","большая
ягодичная","средняя
ягодичная","малая
ягодичная",икроножная,камбаловидная,Опыт,Мышечные группы,Преобладающая мышечная группа,База/изоляция,Тип,Ограничения
Шраги со штангой,,1,,,,,5,5,,,,,,,,,,,,,,,,,,,,6-18 месяцев,верхняя часть трапециевидной и ромбовидной мышц,верхняя часть трапеций,изоляция,тяговое,"Проблемы с шеей, плечами, локтями, запястьями"
Шраги со штангой за спиной,,1,,,,,5,5,,,,,,,,,,,,,,,,,,,,18+ месяцев,верхняя часть трапеций,верхняя часть трапеций,изоляция,тяговое,"Проблемы с шеей, плечами, локтями, запястьями"
Шраги с гантелями,1,,,,,,5,5,,,,,,,,,,,,,,,,,,,,0-6 месяцев,верхняя часть трапециевидной и ромбовидной мышц,верхняя часть трапеций,изоляция,тяговое,"Проблемы с шеей, плечами, локтями, запястьями"
Тяга штанги к подбородку,,1,,,5,,5,,1,,1,,,,,,,,,,,,,,,,,6-18 месяцев,"средняя дельта, трапеция(меньше)",средняя дельта,база ,тяговое,"Проблемы с плечевыми суставами, вращательной манжетой плеча"
Тяга к лицу с подъёмом наверх,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,18+ месяцев,"средняя дельта, задняя дельта, трапеция, ромбовидные","задняя дельта, верх спины",изоляция,тяговое,Проблемы с плечевыми суставами
IYT-подъёмы на животе,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,18+ месяцев,трапеция,трапеция,изоляция,"тяговое, разводящее","Проблемы с плечами, нижней частью спины"
Отведение руки в сторону на блоке,,,1,3,5,3,2,,,,,,,,,,,,,,,,,,,,,6-18 месяцев,"средняя дельта, трапеция(при подъеме выше плеча)",средняя дельта,изоляция,разводящее,Проблемы с плечевыми суставами
Армейский жим,1,1,,5,5,,,,,3,3,,,,,,,,,,,,,,,,,6-18 месяцев,"дельты, трапеция, трицепс, ромбовидные",передняя дельта,база ,жимовое,"Проблемы с плечами, локтями, запястьями"
Жим гантелей над головой,1,,,5,5,3,,,,3,3,,,,,,,,,,,,,,,,,6-18 месяцев,"дельты, трапеция, трицепс, ромбовидные, надостная мышца","передняя дельта, средняя дельта",база ,жимовое,"Проблемы с плечами, локтями, запястьями"
Жим Арнольда,1,,,5,5,,,,,3,3,,,,,,,,,,,,,,,,,18+ месяцев,"дельты, трапеция, трицепс, надостная мышца","передняя дельта, средняя дельта",изоляция,жимовое,"Проблемы с плечами, локтями, запястьями"
